(321.14264777723497, 14.06884765625)
(313.32633121641425, 1.21484375)
(235.16316560820712, 1.22119140625)
(360.22423058133853, 1.0888671875)
(289.87738153395213, 1.0966796875)
(203.89789936492429, 1.0546875)
(289.87738153395213, 1.0517578125)
(313.32633121641425, 1.24267578125)
(203.89789936492429, 1.21923828125)
(188.26526624328284, 1.314453125)
(196.08158280410356, 1.30615234375)
(196.08158280410356, 1.40283203125)
(196.08158280410356, 2.2744140625)
(188.26526624328284, 1.390625)
(196.08158280410356, 1.31640625)
(196.08158280410356, 1.072265625)
(196.08158280410356, 0.94677734375)
(203.89789936492429, 1.1943359375)
(188.26526624328284, 1.06640625)
(196.08158280410356, 1.06591796875)
(196.08158280410356, 1.07861328125)
(188.26526624328284, 1.2646484375)
(196.08158280410356, 1.17431640625)
(188.26526624328284, 0.94677734375)
(196.08158280410356, 1.1650390625)
(196.08158280410356, 0.9921875)
(196.08158280410356, 1.1005859375)
(180.44894968246214, 0.8486328125)
(313.32633121641425, 0.857421875)
(203.89789936492429, 1.060546875)
(297.6936980947728, 0.98583984375)
(289.87738153395213, 0.9833984375)
(188.26526624328284, 1.07373046875)
(196.08158280410356, 0.97412109375)
(313.32633121641425, 0.94677734375)
(388.75378602833416, 11.5625)
(188.26526624328284, 0.94580078125)
(289.87738153395213, 1.20654296875)
(412.20273571079633, 1.19921875)
(203.89789936492429, 1.03271484375)
(297.6936980947728, 1.09521484375)
